Mar 14 2018 at 7:28:40
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
Abnormally low CO2 concentrations
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.27	13.87	65.93	0.00	0.0612	11.14	490.2	403.18	0.0562	453.9	8.170	16.43	8.08	1.34
	1.28	13.87	65.93	0.00	0.0612	11.14	490.1	403.12	0.0564	455.0	8.190	16.47	8.12	1.34
	2.27	13.87	65.93	0.00	0.0613	11.14	490.1	403.16	0.0565	454.7	8.185	16.46	8.11	1.34
	3.28	13.88	65.93	0.00	0.0612	11.14	490.0	403.08	0.0564	455.0	8.189	16.47	8.12	1.34
	4.26	13.88	65.93	0.00	0.0612	11.14	490.2	403.19	0.0564	455.7	8.202	16.49	8.14	1.34
	5.28	13.88	65.93	0.00	0.0611	11.14	490.3	403.31	0.0564	455.5	8.199	16.49	8.14	1.34
	6.26	13.88	65.93	0.00	0.0612	11.13	489.7	402.85	0.0564	455.2	8.194	16.48	8.13	1.34
	7.28	13.88	65.93	0.00	0.0612	11.14	490.3	403.30	0.0566	455.6	8.200	16.49	8.14	1.33
	8.27	13.87	65.93	0.00	0.0612	11.14	490.2	403.22	0.0565	456.7	8.220	16.53	8.17	1.34
	9.28	13.88	65.93	0.00	0.0612	11.14	490.2	403.24	0.0566	457.2	8.230	16.55	8.19	1.34
	10.27	13.93	65.93	0.00	0.0612	11.14	490.2	403.29	0.0566	457.0	8.226	16.54	8.19	1.34
	11.28	13.90	65.96	0.00	0.0612	11.14	490.1	403.03	0.0566	458.0	8.243	16.57	8.22	1.34
	12.27	13.90	65.93	0.00	0.0613	11.14	490.2	403.23	0.0566	457.2	8.230	16.55	8.19	1.34
	13.27	13.88	65.93	0.00	0.0612	11.14	490.1	403.14	0.0566	457.4	8.233	16.55	8.20	1.34
	14.27	13.91	65.93	0.00	0.0611	11.14	490.1	403.22	0.0566	457.8	8.241	16.57	8.21	1.34
	15.27	13.90	65.93	0.00	0.0613	11.14	490.0	403.10	0.0568	457.9	8.242	16.57	8.22	1.34
	16.27	13.91	65.91	0.00	0.0612	11.14	490.2	403.37	0.0566	458.2	8.248	16.59	8.23	1.34
	17.27	13.90	65.96	0.00	0.0612	11.14	490.3	403.14	0.0567	459.4	8.270	16.62	8.26	1.34
	18.34	13.93	65.93	0.00	0.0613	11.15	490.4	403.46	0.0568	460.0	8.279	16.65	8.28	1.34
	19.27	13.93	65.93	0.00	0.0612	11.15	490.6	403.59	0.0568	461.1	8.300	16.69	8.32	1.34
	20.34	13.93	65.93	0.00	0.0613	11.15	490.5	403.54	0.0570	461.2	8.301	16.69	8.32	1.34
